小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,E:m,29,
2,0,,E:m,29,
2,1,,D:M,3,
2,2,,G:M,8,
2,3,,D:M,3,
2,3.5,,Gb:m,31,
3,0,,B:m,36,
3,0.5,,G:M,8,
3,1,,Gb:V,19,
3,2,,B:m,36,
3,3,,Gb:m,31,
4,0,,B:m,36,
4,1,,Gb:m,31,
4,2,,E:m,29,
4,3,,Gb:m,31,
4,3.5,,B:V,24,
5,0,,E:m,29,
5,1,,B:M,12,
5,2,,E:m,29,
6,0,,E:m,29,
6,1,,D:M,3,
6,2,,G:M,8,
6,3,,D:M,3,
6,3.5,,Gb:m,31,
7,0,,B:m,36,
7,0.5,,G:M,8,
7,1,,Gb:M,7,
7,2,,B:m,36,
7,3,,Gb:m,31,
8,0,,B:m,36,
8,1,,Gb:m,31,
8,2,,E:m,29,
8,3,,Gb:m,31,
8,3.5,,B:V,24,
9,0,,E:m,29,
9,1,,B:M,12,
9,2,,E:m,29,
10,0,,A:M,10,
10,2,,D:M,3,
10,3,,G:M,8,
11,0,,E:m,29,
11,1,,Gb:M,7,
11,2,,B:M,12,
11,3,,E:m,29,
12,0,,E:m,29,
12,1,,A:V,22,
12,2,,D:M,3,
12,3,,G:M,8,
13,0,,E:m,29,
13,1,,Gb:V,19,
13,2,,B:m,36,
13,3,,Gb:m,31,
14,0,,B:m,36,
14,1,,Gb:m,31,
14,2,,G:M,8,
14,3,,D:M,3,
15,0,,B:M,12,
15,1,,E:m,29,
15,2,,B:M,12,
15,3,,E:m,29,
16,0,,C:M,1,
16,1,,A:m,34,
16,2,,G:M,8,
16,3,,Gb:m,31,
17,0,,A:m,34,
17,1,,B:M,12,
17,2,,E:m,29,
17,3,,E:M,5,
18,0,,A:M,10,
18,1,,Gb:m,31,
18,2,,D:M,3,
18,3,,E:m,29,
19,0,,G:M,8,
19,1,,Gb:V,19,
19,2,,B:M,12,
