小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:M,10,
2,0,,D:m,27,
2,1,,Bb:M,11,
2,2,,F:M,6,
2,3,,C:V,13,
3,0,,F:M,6,
3,2,,C:M,1,
3,3,,D:m,27,
4,0,,C:M,1,
4,0.5,,C:V,13,
4,1,,F:M,6,
4,2,,G:m,32,
4,3,,C:M,1,
5,0,,F:M,6,
5,2,,D:m,27,
5,3,,Bb:M,11,
6,0,,C:V,13,
6,0.5,,F:M,6,
6,1,,C:V,13,
6,2,,F:M,6,
6,3,,D:m,27,
7,0,,F:M,6,
7,1,,Bb:M,11,
7,2,,C:V,13,
7,3,,F:M,6,
8,0,,C:M,1,
8,1,,C:V,13,
8,2,,F:M,6,
8,3,,G:M,8,
9,0,,C:M,1,
9,1,,F:M,6,
9,2,,G:m,32,
9,3,,C:V,13,
10,0,,F:M,6,
10,1,,C:d,37,
10,2,,G:V,20,
10,3,,C:m,25,
11,0,,F:m,30,
11,1,,G:M,8,
11,2,,C:M,1,
12,0,,F:M,6,
12,1,,F:V,18,
12,2,,Bb:M,11,
12,3,,F:M,6,
13,0,,Bb:M,11,
13,1,,C:V,13,
13,2,,F:V,18,
13,3,,D:m,27,
14,0,,G:V,20,
14,1,,C:V,13,
14,2,,F:M,6,
