小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,D:M,3,
2,0,,B:m,36,
2,1,,D:M,3,
2,2,,Gb:m,31,
3,0,,G:M,8,
3,1,,E:m,29,
3,2,,Gb:m,31,
4,0,,B:m,36,
4,1,,E:m,29,
4,2,,A:M,10,
5,0,,D:M,3,
6,0,,D:M,3,
6,2,,Gb:M,7,
7,0,,B:m,36,
7,2,,A:V,22,
8,0,,D:M,3,
8,1,,E:m,29,
8,2,,A:M,10,
9,0,,D:M,3,
10,0,,B:m,36,
10,1,,D:M,3,
10,2,,Gb:m,31,
11,0,,G:m,32,
11,1,,E:m,29,
11,2,,Gb:m,31,
12,0,,B:m,36,
12,1,,E:m,29,
12,2,,A:M,10,
13,0,,D:M,3,
14,0,,D:M,3,
14,2,,Gb:M,7,
15,0,,B:m,36,
15,2,,A:V,22,
16,0,,D:M,3,
16,1,,E:m,29,
16,2,,A:M,10,
17,0,,D:M,3,
18,0,,G:M,8,
18,1,,A:V,22,
19,0,,A:M,10,
19,2,,Gb:M,7,
20,0,,B:m,36,
20,1,,E:m,29,
20,2,,Gb:M,7,
21,0,,B:m,36,
21,2,,A:M,10,
22,0,,E:M,5,
22,1,,E:V,17,
22,2,,A:M,10,
23,0,,D:M,3,
23,1,,B:m,36,
23,2,,E:M,5,
24,0,,A:M,10,
25,0,,D:M,3,
25,1,,B:m,36,
25,2,,G:M,8,
26,0,,E:m,29,
26,1,,A:M,10,
27,0,,D:M,3,
27,1,,A:M,10,
27,2,,D:M,3,
28,0,,G:M,8,
29,0,,E:m,29,
29,2,,A:m,34,
30,0,,C:M,1,
30,1,,A:m,34,
30,2,,B:V,24,
31,0,,E:m,29,
31,2,,A:M,10,
32,0,,D:M,3,
32,1,,B:m,36,
33,0,,E:m,29,
34,0,,D:M,3,
34,2.5,,D:V,15,
35,0,,G:M,8,
35,2,,D:M,3,
36,0,,E:M,5,
36,1,,E:V,17,
36,2,,A:M,10,
37,0,,D:M,3,
37,1,,B:m,36,
37,2,,E:M,5,
38,0,,A:M,10,
39,0,,D:M,3,
39,1,,E:M,5,
39,2,,A:M,10,
40,0,,B:V,24,
40,1,,Db:V,14,
40,2,,Gb:m,31,
41,0,,A:M,10,
41,1,,D:M,3,
42,0,,A:M,10,
42,2,,D:M,3,
43,0,,G:M,8,
43,1,,D:V,15,
43,2,,A:V,22,
44,0,,D:M,3,
44,1,,G:M,8,
44,2,,A:M,10,
45,0,,D:M,3,
