小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,D:M,3,
1,2,,G:M,8,
1,3,,A:V,22,
2,0,,B:m,36,
2,1,,E:V,17,
2,2,,A:M,10,
3,0,,E:m,29,
3,1,,D:M,3,
3,2,,A:M,10,
3,3,,D:M,3,
4,0,,G:M,8,
4,1,,D:M,3,
4,2,,A:M,10,
4,3,,D:M,3,
5,0,,D:M,3,
5,2,,E:m,29,
5,3,,A:M,10,
6,0,,B:m,36,
6,1,,E:V,17,
6,2,,A:M,10,
7,0,,E:m,29,
7,1,,D:M,3,
7,2,,A:M,10,
7,3,,D:M,3,
8,0,,G:M,8,
8,1,,D:M,3,
8,2,,A:M,10,
8,3,,D:M,3,
9,0,,B:M,12,
9,1,,E:M,5,
9,2,,Gb:V,19,
9,3,,E:m,29,
10,0,,B:m,36,
10,1,,Gb:M,7,
10,2,,B:m,36,
11,0,,Db:d,38,
11,1,,D:M,3,
11,2,,A:M,10,
11,3,,D:M,3,
12,0,,E:m,29,
12,1,,A:M,10,
12,2,,D:M,3,
