小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,E:m,29,
1,2,,A:M,10,
2,0,,D:M,3,
2,1,,E:M,5,
2,2,,A:M,10,
3,0,,D:M,3,
3,2,,E:M,5,
4,0,,A:M,10,
5,0,,E:M,5,
5,1,,A:M,10,
5,2,,Eb:d,40,
6,0,,E:m,29,
7,0,,B:m,36,
7,1,,E:m,29,
7,2,,Gb:M,7,
8,0,,B:M,12,
8,2,,E:m,29,
9,0,,D:M,3,
9,2,,G:M,8,
10,0,,A:M,10,
10,2,,D:M,3,
11,0,,G:M,8,
11,1,,E:m,29,
11,2,,A:M,10,
12,0,,D:M,3,
12,2,,B:m,36,
13,0,,E:M,5,
13,1,,C:M,1,
13,2,,D:M,3,
14,0,,G:M,8,
14,1,,B:M,12,
14,2,,B:V,24,
15,0,,C:M,1,
15,1,,G:M,8,
15,2,,D:M,3,
16,0,,G:M,8,
16,2,,Gb:d,43,
17,0,,E:m,29,
17,1,,B:M,12,
18,0,,E:M,5,
