小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:M,10,
2,0.5,,Ab:M,9,
2,0.75,,Db:M,2,
2,1,,Gb:m,31,
2,1.5,,A:M,10,
3,0,,D:M,3,
3,1,,A:M,10,
3,1.75,,Db:M,2,
4,0,,E:M,5,
4,1,,A:M,10,
5,0,,E:M,5,
5,1,,A:M,10,
6,0.5,,Ab:M,9,
6,0.75,,Db:M,2,
6,1,,Gb:m,31,
6,1.5,,A:M,10,
7,0,,D:M,3,
7,1,,A:M,10,
7,1.75,,Db:M,2,
8,0,,E:M,5,
8,1,,A:M,10,
9,0,,E:M,5,
9,1,,A:M,10,
9,1.5,,E:M,5,
10,0.5,,Ab:m,33,
10,1,,E:M,5,
11,0,,Bb:d,47,
12,0,,B:m,36,
12,0.5,,Gb:M,7,
12,1,,B:m,36,
12,1.75,,B:M,12,
13,0,,Db:M,2,
13,0.75,,Ab:d,45,
13,1,,Db:M,2,
13,1.5,,A:M,10,
15,0,,D:M,3,
15,0.5,,D:m,27,
15,1,,A:M,10,
15,1.75,,Db:M,2,
16,0,,E:M,5,
16,1,,A:M,10,
17,0,,E:M,5,
18,0,,A:M,10,
